    0.992597937583923340E-01   -0.314281538128852844E+01    0.159984459617409924E+00   -0.116394091209840262E+07   -0.690775511231546968E+01    1
    0.307957291603088379E+00   -0.282086375355720520E+01    0.205480451564829469E+00   -0.116393936167165171E+07   -0.690875511231548245E+01    1
    0.306422710418701172E+00   -0.329183331131935120E+01    0.303702570164123220E+00   -0.116393529822461610E+07   -0.690975511231547301E+01    1
    0.989339351654052734E-01   -0.262270939350128174E+01    0.196337066649313496E+00   -0.116393319071898749E+07   -0.691075511231547601E+01    1
    0.310753345489501953E+00   -0.299624577164649963E+01    0.122289506559506322E+00   -0.116391875921353488E+07   -0.691175511231546658E+01    1
    0.100737035274505615E+00   -0.311836054921150208E+01    0.102842363503434076E+01   -0.116391861655296455E+07   -0.691275511231547579E+01    1
    0.305470883846282959E+00   -0.349990361928939819E+01    0.632328264186605149E+00   -0.116390310885058041E+07   -0.691375511231547435E+01    1
    0.103996753692626953E+00   -0.294790771603584290E+01    0.495903877237548085E+00   -0.116387269692885340E+07   -0.691475511231548357E+01    1
    0.352471113204956055E+00   -0.125420364737510681E+01    0.158044610637606914E+00   -0.116384623673374346E+07   -0.691575511231552209E+01    1
    0.104633986949920654E+00   -0.305758312344551086E+01    0.788738485174069082E+00   -0.116384358356255898E+07   -0.691675511231554463E+01    1
   -0.393356680870056152E-01   -0.354408979415893555E+00    0.211844614110281076E+00   -0.116372498863407038E+07   -0.691775511231549967E+01    1
    0.468221604824066162E+00   -0.116856396198272705E+00    0.809335392966657324E-01   -0.116364365980554442E+07   -0.691875511231549378E+01    1
    0.915028452873229980E-01   -0.303854835033416748E+01    0.794848137051852754E+00   -0.116361643201195914E+07   -0.691975511231551454E+01    1
   -0.135723948478698730E+00   -0.348135533928871155E+01    0.270349963037582741E+00   -0.116361557932688203E+07   -0.692075511231548113E+01    1
   -0.445029139518737793E-01   -0.345921197533607483E+01    0.229817627036564553E+00   -0.116360132808035123E+07   -0.692175511231547080E+01    1
    0.843521952629089355E-01   -0.307242053747177124E+01    0.330663407859870861E+00   -0.116359677538921684E+07   -0.692275511231549334E+01    1
    0.374709069728851318E+00   -0.343666034936904907E+01    0.124608562475597012E+00   -0.116358792399201682E+07   -0.692375511231548746E+01    1
